case,arm,seed,t_sec,best
A funnel,B0,42,15.585,31.0000
A funnel,B0,42,15.623,31.0000
A funnel,B0,42,15.664,31.0000
A funnel,B0,42,15.703,31.0000
A funnel,B0,42,15.741,31.0000
A funnel,B0,42,15.781,31.0000
A funnel,B0,42,15.819,31.0000
A funnel,B0,42,15.855,31.0000
A funnel,B0,42,15.890,31.0000
A funnel,B0,42,15.925,31.0000
A funnel,B0,42,15.962,31.0000
A funnel,B0,42,16.001,31.0000
A funnel,B0,42,16.037,31.0000
A funnel,B0,42,16.075,31.0000
A funnel,B0,42,16.113,31.0000
A funnel,B0,42,16.154,31.0000
A funnel,B0,42,16.192,31.0000
A funnel,B0,42,16.230,31.0000
A funnel,B0,42,16.268,31.0000
A funnel,B0,42,16.310,31.0000
A funnel,B0,42,16.347,31.0000
A funnel,B0,42,16.385,31.0000
A funnel,B0,42,16.422,31.0000
A funnel,B0,42,16.464,31.0000
A funnel,B0,42,16.502,31.0000
A funnel,B0,42,16.540,31.0000
A funnel,B0,42,16.577,31.0000
A funnel,B0,42,16.612,31.0000
A funnel,B0,42,16.650,31.0000
A funnel,B0,42,16.684,31.0000
A funnel,B0,42,16.720,31.0000
A funnel,B0,42,16.757,31.0000
A funnel,B0,42,16.799,31.0000
A funnel,B0,42,16.837,31.0000
A funnel,B0,42,16.874,31.0000
A funnel,B0,42,16.911,31.0000
A funnel,B0,42,16.952,31.0000
A funnel,B0,42,16.988,31.0000
A funnel,B0,42,17.023,31.0000
A funnel,B0,42,17.060,31.0000
A funnel,B0,42,17.100,31.0000
A funnel,B0,42,17.136,31.0000
A funnel,B0,42,17.170,31.0000
A funnel,B0,42,17.206,31.0000
A funnel,B0,42,17.246,31.0000
A funnel,B0,42,17.287,31.0000
A funnel,B0,42,17.323,31.0000
A funnel,B0,42,17.358,31.0000
A funnel,B0,42,17.393,31.0000
A funnel,B0,42,17.433,31.0000
A funnel,B0,42,17.469,31.0000
A funnel,B0,42,17.506,31.0000
A funnel,B0,42,17.541,31.0000
A funnel,B0,42,17.583,31.0000
A funnel,B0,42,17.620,31.0000
A funnel,B0,42,17.659,31.0000
A funnel,B0,42,17.699,31.0000
A funnel,B0,42,17.743,31.0000
A funnel,B0,42,17.781,31.0000
A funnel,B0,42,17.818,31.0000
A funnel,B0,42,17.854,31.0000
A funnel,B0,42,17.889,31.0000
A funnel,B0,42,17.931,31.0000
A funnel,B0,42,17.969,31.0000
A funnel,B0,42,18.007,31.0000
A funnel,B0,42,18.045,31.0000
A funnel,B0,42,18.087,31.0000
A funnel,B0,42,18.125,31.0000
A funnel,B0,42,18.164,31.0000
A funnel,B0,42,18.202,31.0000
A funnel,B0,42,18.243,31.0000
A funnel,B0,42,18.281,31.0000
A funnel,B0,42,18.319,31.0000
A funnel,B0,42,18.357,31.0000
A funnel,B0,42,18.393,31.0000
A funnel,B0,42,18.433,31.0000
A funnel,B0,42,18.470,31.0000
A funnel,B0,42,18.508,31.0000
A funnel,B0,42,18.545,31.0000
A funnel,B0,42,18.586,31.0000
A funnel,B0,42,18.624,31.0000
A funnel,B0,42,18.661,31.0000
A funnel,B0,42,18.700,31.0000
A funnel,B0,42,18.742,31.0000
A funnel,B0,42,18.782,31.0000
A funnel,B0,42,18.824,31.0000
A funnel,B0,42,18.861,31.0000
A funnel,B0,42,18.897,31.0000
A funnel,B0,42,18.932,31.0000
A funnel,B0,42,18.968,31.0000
A funnel,B0,42,19.003,31.0000
A funnel,B0,42,19.039,31.0000
A funnel,B0,42,19.077,31.0000
A funnel,B0,42,19.111,31.0000
A funnel,B0,42,19.148,31.0000
A funnel,B0,42,19.184,31.0000
A funnel,B0,42,19.224,31.0000
A funnel,B0+,42,0.057,45.0000
A funnel,B0+,42,0.129,37.0000
A funnel,B0+,42,0.185,37.0000
A funnel,B0+,42,0.230,37.0000
A funnel,B0+,42,0.271,37.0000
A funnel,B0+,42,0.317,37.0000
A funnel,B0+,42,0.355,37.0000
A funnel,B0+,42,0.395,36.0000
A funnel,B0+,42,0.437,36.0000
A funnel,B0+,42,0.477,36.0000
A funnel,B0+,42,0.514,36.0000
A funnel,B0+,42,0.552,36.0000
A funnel,B0+,42,0.594,36.0000
A funnel,B0+,42,0.634,36.0000
A funnel,B0+,42,0.678,35.0000
A funnel,B0+,42,0.740,35.0000
A funnel,B0+,42,0.807,35.0000
A funnel,B0+,42,0.875,35.0000
A funnel,B0+,42,0.925,35.0000
A funnel,B0+,42,0.972,34.0000
A funnel,B0+,42,1.008,34.0000
A funnel,B0+,42,1.044,34.0000
A funnel,B0+,42,1.078,34.0000
A funnel,B0+,42,1.116,34.0000
A funnel,B0+,42,1.150,34.0000
A funnel,B0+,42,1.184,34.0000
A funnel,B0+,42,1.218,34.0000
A funnel,B0+,42,1.256,34.0000
A funnel,B0+,42,1.290,34.0000
A funnel,B0+,42,1.330,33.0000
A funnel,B0+,42,1.364,33.0000
A funnel,B0+,42,1.405,33.0000
A funnel,B0+,42,1.442,33.0000
A funnel,B0+,42,1.477,33.0000
A funnel,B0+,42,1.513,33.0000
A funnel,B0+,42,1.551,33.0000
A funnel,B0+,42,1.588,33.0000
A funnel,B0+,42,1.627,33.0000
A funnel,B0+,42,1.665,33.0000
A funnel,B0+,42,1.701,33.0000
A funnel,B0+,42,1.743,33.0000
A funnel,B0+,42,1.789,33.0000
A funnel,B0+,42,1.828,33.0000
A funnel,B0+,42,1.867,33.0000
A funnel,B0+,42,1.911,33.0000
A funnel,B0+,42,1.951,33.0000
A funnel,B0+,42,1.993,33.0000
A funnel,B0+,42,2.032,33.0000
A funnel,B0+,42,2.070,33.0000
A funnel,B0+,42,2.113,33.0000
A funnel,B0+,42,2.150,33.0000
A funnel,B0+,42,2.189,33.0000
A funnel,B0+,42,2.228,33.0000
A funnel,B0+,42,2.272,33.0000
A funnel,B0+,42,2.312,33.0000
A funnel,B0+,42,2.350,33.0000
A funnel,B0+,42,2.387,33.0000
A funnel,B0+,42,2.430,33.0000
A funnel,B0+,42,2.467,33.0000
A funnel,B0+,42,2.507,33.0000
A funnel,B0+,42,2.546,33.0000
A funnel,B0+,42,2.590,33.0000
A funnel,B0+,42,2.630,33.0000
A funnel,B0+,42,2.673,33.0000
A funnel,B0+,42,2.717,33.0000
A funnel,B0+,42,2.756,33.0000
A funnel,B0+,42,2.798,33.0000
A funnel,B0+,42,2.834,33.0000
A funnel,B0+,42,2.867,33.0000
A funnel,B0+,42,2.903,33.0000
A funnel,B0+,42,2.941,33.0000
A funnel,B0+,42,2.978,33.0000
A funnel,B0+,42,3.017,33.0000
A funnel,B0+,42,3.055,33.0000
A funnel,B0+,42,3.095,33.0000
A funnel,B0+,42,3.130,33.0000
A funnel,B0+,42,3.166,33.0000
A funnel,B0+,42,3.205,33.0000
A funnel,B0+,42,3.239,33.0000
A funnel,B0+,42,3.290,33.0000
A funnel,B0+,42,3.333,33.0000
A funnel,B0+,42,3.369,33.0000
A funnel,B0+,42,3.405,32.0000
A funnel,B0+,42,3.444,32.0000
A funnel,B0+,42,3.480,31.0000
A funnel,B0+,42,3.517,31.0000
A funnel,B0+,42,3.553,31.0000
A funnel,B0+,42,3.592,31.0000
A funnel,B0+,42,3.630,31.0000
A funnel,B0+,42,3.667,31.0000
A funnel,B0+,42,3.703,31.0000
A funnel,B0+,42,3.746,31.0000
A funnel,B0+,42,3.781,31.0000
A funnel,B0+,42,3.818,31.0000
A funnel,B0+,42,3.857,31.0000
A funnel,B0+,42,3.896,31.0000
A funnel,B0+,42,3.937,31.0000
A funnel,B0+,42,3.978,31.0000
