instance,seed,mode,n_seeds,n_closure,n_T_impact,closure_frac,pass_C1,R1_feasible,R2_feasible,ref_makespan
example_3x3x2,2024,split,6,16,0,0.5161,True,False,True,58.5
example_3x3x2,99,split,6,20,0,0.7143,True,False,True,48.0
example_3x3x2,123,split,7,19,0,0.5588,True,False,True,35.5
example_3x3x2,13,split,7,21,0,0.7,True,False,True,55.0
example_3x3x2,1,split,6,18,0,0.6,True,False,True,52.0
example_3x3x2,777,split,8,28,0,0.8235,True,False,True,44.0
example_3x3x2,31415,split,6,25,0,0.7353,True,False,True,70.0
example_3x3x2,8,split,6,20,0,0.625,True,False,True,34.5
congested_8x4x4,42,split,15,50,0,0.5814,True,False,True,121.5
congested_8x4x4,7,split,16,56,0,0.549,True,False,True,346.0
congested_8x4x4,2024,split,14,48,0,0.5714,True,False,True,312.5
congested_8x4x4,99,split,15,53,0,0.5699,True,False,True,280.0
congested_8x4x4,123,split,15,52,0,0.5361,True,False,True,112.0
congested_8x4x4,13,split,15,51,0,0.5426,True,False,True,131.0
congested_8x4x4,1,split,17,61,0,0.5865,True,False,True,97.0
congested_8x4x4,777,split,19,64,0,0.6737,True,False,True,101.0
congested_8x4x4,31415,split,15,57,0,0.6333,True,False,True,283.0
congested_8x4x4,8,split,15,56,0,0.5657,True,False,True,97.0
S8x4x4_high,42,split,17,99,0,0.6111,True,False,True,78.5
S8x4x4_high,7,split,14,80,0,0.5405,True,False,True,156.5
S8x4x4_high,2024,split,16,77,0,0.5133,True,False,True,181.0
S8x4x4_high,99,split,13,57,0,0.4043,True,False,True,113.0
S8x4x4_high,123,split,18,89,0,0.6096,True,False,True,148.0
S8x4x4_high,13,split,16,73,0,0.5615,True,False,True,136.0
S8x4x4_high,1,split,14,70,0,0.4667,True,False,False,88.0
S8x4x4_high,777,split,15,87,0,0.6259,True,False,True,168.5
S8x4x4_high,31415,split,12,60,0,0.4412,True,False,True,151.5
S8x4x4_high,8,split,12,77,0,0.5423,True,False,True,93.0
S8x4x4_funnel,42,split,15,96,0,0.6076,True,False,True,97.0
S8x4x4_funnel,7,split,16,94,0,0.6267,True,False,True,169.0
S8x4x4_funnel,2024,split,18,90,0,0.5769,True,False,True,182.0
S8x4x4_funnel,99,split,19,91,0,0.6364,True,False,True,145.5
S8x4x4_funnel,123,split,14,83,0,0.5533,True,False,True,78.5
S8x4x4_funnel,13,split,16,90,0,0.6338,True,False,True,122.0
S8x4x4_funnel,1,split,18,92,0,0.6571,True,False,True,141.0
S8x4x4_funnel,777,split,14,84,0,0.5915,True,False,True,115.0
S8x4x4_funnel,31415,split,12,65,0,0.471,True,False,True,178.0
S8x4x4_funnel,8,split,15,93,0,0.5962,True,False,True,115.0
S8x4x4_mid,42,split,16,84,0,0.5753,True,False,True,78.5
S8x4x4_mid,7,split,16,85,0,0.5743,True,False,True,153.0
S8x4x4_mid,2024,split,16,97,0,0.5988,True,False,True,157.5
S8x4x4_mid,99,split,12,65,0,0.4221,True,False,True,88.5
S8x4x4_mid,123,split,14,88,0,0.5906,True,False,True,141.0
S8x4x4_mid,13,split,16,88,0,0.6567,True,False,True,145.0
S8x4x4_mid,1,split,16,102,0,0.622,True,False,True,84.0
S8x4x4_mid,777,split,15,76,0,0.5714,True,False,True,124.0
S8x4x4_mid,31415,split,14,66,0,0.449,True,False,True,133.0
S8x4x4_mid,8,split,18,90,0,0.6207,True,False,True,87.0
