instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta,esc_rounds,esc_wall_ms,k,jobs,machines,n_res,n_live,closure,closure_frac,n_nodes,n_corridors
S14x7x7,99,R2,True,132.25,135.0,5.355,0.43,0,121,127,158,,,,7,14,7,279,158,127,0.804,14,15
S14x7x7,99,RS,True,220.0,135.0,2.476,0.566,0,121,,158,85.0,,,7,14,7,279,158,127,0.804,14,15
S14x7x7,99,RD,True,132.25,135.0,10.501,0.563,0,121,,158,,,,7,14,7,279,158,127,0.804,14,15
S14x7x7,123,R2,True,119.0,119.0,6.205,0.18,0,107,144,177,,,,7,14,7,284,177,144,0.814,14,15
S14x7x7,123,RS,True,195.0,119.0,2.625,0.623,0,107,,177,76.0,,,7,14,7,284,177,144,0.814,14,15
S14x7x7,123,RD,True,117.65,119.0,13.079,0.62,0,107,,177,,,,7,14,7,284,177,144,0.814,14,15
S14x7x7,13,R2,True,175.0,120.0,6.069,0.517,0,109,138,158,,,,7,14,7,267,158,138,0.873,14,15
S14x7x7,13,RS,True,174.0,120.0,2.369,0.592,0,109,,158,54.0,,,7,14,7,267,158,138,0.873,14,15
S14x7x7,13,RD,True,170.0,120.0,15.444,0.532,0,109,,158,,,,7,14,7,267,158,138,0.873,14,15
S14x7x7,1,R2,True,128.0,127.0,5.48,0.217,0,115,94,166,,,,7,14,7,281,166,94,0.566,14,15
S14x7x7,1,RS,True,194.0,127.0,2.548,0.591,0,115,,166,67.0,,,7,14,7,281,166,94,0.566,14,15
S14x7x7,1,RD,True,120.44999999999999,127.0,14.166,0.569,0,115,,166,,,,7,14,7,281,166,94,0.566,14,15
S14x7x7,777,R2,True,181.0,127.0,7.986,0.6,0,116,174,174,,,,7,14,7,290,174,174,1.0,14,15
S14x7x7,777,RS,True,178.0,127.0,2.588,0.6,0,116,,174,51.0,,,7,14,7,290,174,174,1.0,14,15
S14x7x7,777,RD,True,180.0,127.0,16.13,0.607,2,116,,174,,,,7,14,7,290,174,174,1.0,14,15
