instance,seed,arm,budget,pop,max_gen,stall_gen,makespan,runtime_sec,generations,evaluations,stopped_by,valid,lower_bound
mfjs09-ideal,3,ideal,p100g1000s100,100,1000,100,1220.0,11.625,185,18500,stall,True,770.0
mfjs09-ideal,4,ideal,p100g1000s100,100,1000,100,1240.0,12.671,198,19800,stall,True,770.0
mfjs09-ideal,5,ideal,p100g1000s100,100,1000,100,1277.0,10.415,159,15900,stall,True,770.0
mfjs09-ideal,6,ideal,p100g1000s100,100,1000,100,1275.0,15.252,251,25100,stall,True,770.0
mfjs09-ideal,7,ideal,p100g1000s100,100,1000,100,1255.0,16.332,253,25300,stall,True,770.0
mfjs09-ideal,8,ideal,p100g1000s100,100,1000,100,1297.0,13.137,212,21200,stall,True,770.0
mfjs09-ideal,9,ideal,p100g1000s100,100,1000,100,1261.0,19.754,309,30900,stall,True,770.0
mfjs09-ideal,10,ideal,p100g1000s100,100,1000,100,1196.0,36.45,558,55800,stall,True,770.0
mfjs10-ideal,1,ideal,p100g1000s100,100,1000,100,1440.0,16.423,232,23200,stall,True,950.0
mfjs10-ideal,2,ideal,p100g1000s100,100,1000,100,1422.0,15.985,233,23300,stall,True,950.0
mfjs10-ideal,3,ideal,p100g1000s100,100,1000,100,1493.0,30.536,429,42900,stall,True,950.0
mfjs10-ideal,4,ideal,p100g1000s100,100,1000,100,1388.0,17.719,253,25300,stall,True,950.0
mfjs10-ideal,5,ideal,p100g1000s100,100,1000,100,1525.0,12.529,179,17900,stall,True,950.0
mfjs10-ideal,6,ideal,p100g1000s100,100,1000,100,1403.0,13.191,186,18600,stall,True,950.0
mfjs10-ideal,7,ideal,p100g1000s100,100,1000,100,1500.0,10.77,154,15400,stall,True,950.0
mfjs10-ideal,8,ideal,p100g1000s100,100,1000,100,1493.0,10.232,144,14400,stall,True,950.0
mfjs10-ideal,9,ideal,p100g1000s100,100,1000,100,1468.0,17.811,262,26200,stall,True,950.0
mfjs10-ideal,10,ideal,p100g1000s100,100,1000,100,1501.0,11.168,165,16500,stall,True,950.0
