instance,seed,arm,budget,pop,max_gen,stall_gen,makespan,runtime_sec,generations,evaluations,stopped_by,valid,lower_bound
mfjs08-ideal,4,ideal,p100g200s30,100,200,30,978.0,5.867,113,11300,stall,True,770.0
mfjs08-ideal,5,ideal,p100g200s30,100,200,30,1136.0,1.841,35,3500,stall,True,770.0
mfjs08-ideal,6,ideal,p100g200s30,100,200,30,970.0,6.117,114,11400,stall,True,770.0
mfjs08-ideal,7,ideal,p100g200s30,100,200,30,995.0,6.269,118,11800,stall,True,770.0
mfjs08-ideal,8,ideal,p100g200s30,100,200,30,1055.0,3.996,71,7100,stall,True,770.0
mfjs08-ideal,9,ideal,p100g200s30,100,200,30,997.0,4.431,79,7900,stall,True,770.0
mfjs08-ideal,10,ideal,p100g200s30,100,200,30,1041.0,5.511,101,10100,stall,True,770.0
mfjs09-ideal,1,ideal,p100g200s30,100,200,30,1279.0,4.307,59,5900,stall,True,770.0
mfjs09-ideal,2,ideal,p100g200s30,100,200,30,1262.0,7.457,107,10700,stall,True,770.0
mfjs09-ideal,3,ideal,p100g200s30,100,200,30,1226.0,5.452,79,7900,stall,True,770.0
mfjs09-ideal,4,ideal,p100g200s30,100,200,30,1240.0,8.443,128,12800,stall,True,770.0
mfjs09-ideal,5,ideal,p100g200s30,100,200,30,1277.0,5.904,89,8900,stall,True,770.0
mfjs09-ideal,6,ideal,p100g200s30,100,200,30,1285.0,8.768,137,13700,stall,True,770.0
mfjs09-ideal,7,ideal,p100g200s30,100,200,30,1331.0,5.138,74,7400,stall,True,770.0
mfjs09-ideal,8,ideal,p100g200s30,100,200,30,1297.0,9.406,142,14200,stall,True,770.0
mfjs09-ideal,9,ideal,p100g200s30,100,200,30,1297.0,6.941,100,10000,stall,True,770.0
mfjs09-ideal,10,ideal,p100g200s30,100,200,30,1298.0,7.124,106,10600,stall,True,770.0
mfjs10-ideal,1,ideal,p100g200s30,100,200,30,1446.0,9.139,119,11900,stall,True,950.0
mfjs10-ideal,2,ideal,p100g200s30,100,200,30,1427.0,8.004,107,10700,stall,True,950.0
mfjs10-ideal,3,ideal,p100g200s30,100,200,30,1561.0,5.195,72,7200,stall,True,950.0
mfjs10-ideal,4,ideal,p100g200s30,100,200,30,1389.0,8.051,111,11100,stall,True,950.0
mfjs10-ideal,5,ideal,p100g200s30,100,200,30,1539.0,4.516,62,6200,stall,True,950.0
mfjs10-ideal,6,ideal,p100g200s30,100,200,30,1403.0,8.514,116,11600,stall,True,950.0
mfjs10-ideal,7,ideal,p100g200s30,100,200,30,1500.0,5.939,84,8400,stall,True,950.0
mfjs10-ideal,8,ideal,p100g200s30,100,200,30,1493.0,5.534,74,7400,stall,True,950.0
mfjs10-ideal,9,ideal,p100g200s30,100,200,30,1471.0,10.605,151,15100,stall,True,950.0
mfjs10-ideal,10,ideal,p100g200s30,100,200,30,1501.0,6.703,95,9500,stall,True,950.0
sfjs01-ideal,1,ideal,p100g200s30,100,200,30,70.0,0.163,30,3000,stall,True,68.0
sfjs01-ideal,2,ideal,p100g200s30,100,200,30,70.0,0.155,30,3000,stall,True,68.0
sfjs01-ideal,3,ideal,p100g200s30,100,200,30,70.0,0.155,30,3000,stall,True,68.0
sfjs01-ideal,4,ideal,p100g200s30,100,200,30,70.0,0.16,30,3000,stall,True,68.0
sfjs01-ideal,5,ideal,p100g200s30,100,200,30,70.0,0.159,30,3000,stall,True,68.0
sfjs01-ideal,6,ideal,p100g200s30,100,200,30,70.0,0.16,30,3000,stall,True,68.0
sfjs01-ideal,7,ideal,p100g200s30,100,200,30,70.0,0.159,30,3000,stall,True,68.0
sfjs01-ideal,8,ideal,p100g200s30,100,200,30,70.0,0.158,30,3000,stall,True,68.0
sfjs01-ideal,9,ideal,p100g200s30,100,200,30,70.0,0.157,30,3000,stall,True,68.0
sfjs01-ideal,10,ideal,p100g200s30,100,200,30,70.0,0.165,30,3000,stall,True,68.0
sfjs02-ideal,1,ideal,p100g200s30,100,200,30,111.0,0.165,30,3000,stall,True,111.0
sfjs02-ideal,2,ideal,p100g200s30,100,200,30,111.0,0.161,30,3000,stall,True,111.0
sfjs02-ideal,3,ideal,p100g200s30,100,200,30,111.0,0.156,30,3000,stall,True,111.0
sfjs02-ideal,4,ideal,p100g200s30,100,200,30,111.0,0.152,30,3000,stall,True,111.0
sfjs02-ideal,5,ideal,p100g200s30,100,200,30,111.0,0.148,30,3000,stall,True,111.0
sfjs02-ideal,6,ideal,p100g200s30,100,200,30,111.0,0.148,30,3000,stall,True,111.0
sfjs02-ideal,7,ideal,p100g200s30,100,200,30,111.0,0.145,30,3000,stall,True,111.0
sfjs02-ideal,8,ideal,p100g200s30,100,200,30,111.0,0.145,30,3000,stall,True,111.0
sfjs02-ideal,9,ideal,p100g200s30,100,200,30,111.0,0.144,30,3000,stall,True,111.0
sfjs02-ideal,10,ideal,p100g200s30,100,200,30,111.0,0.145,30,3000,stall,True,111.0
sfjs03-ideal,1,ideal,p100g200s30,100,200,30,223.0,0.226,30,3000,stall,True,212.0
sfjs03-ideal,2,ideal,p100g200s30,100,200,30,223.0,0.228,30,3000,stall,True,212.0
sfjs03-ideal,3,ideal,p100g200s30,100,200,30,223.0,0.234,30,3000,stall,True,212.0
sfjs03-ideal,4,ideal,p100g200s30,100,200,30,223.0,0.227,30,3000,stall,True,212.0
sfjs03-ideal,5,ideal,p100g200s30,100,200,30,223.0,0.227,30,3000,stall,True,212.0
sfjs03-ideal,6,ideal,p100g200s30,100,200,30,223.0,0.225,30,3000,stall,True,212.0
sfjs03-ideal,7,ideal,p100g200s30,100,200,30,223.0,0.234,30,3000,stall,True,212.0
sfjs03-ideal,8,ideal,p100g200s30,100,200,30,223.0,0.236,30,3000,stall,True,212.0
sfjs03-ideal,9,ideal,p100g200s30,100,200,30,223.0,0.23,30,3000,stall,True,212.0
sfjs03-ideal,10,ideal,p100g200s30,100,200,30,223.0,0.245,30,3000,stall,True,212.0
sfjs04-ideal,1,ideal,p100g200s30,100,200,30,359.0,0.354,30,3000,stall,True,331.0
sfjs04-ideal,2,ideal,p100g200s30,100,200,30,359.0,0.271,30,3000,stall,True,331.0
sfjs04-ideal,3,ideal,p100g200s30,100,200,30,359.0,0.231,30,3000,stall,True,331.0
sfjs04-ideal,4,ideal,p100g200s30,100,200,30,359.0,0.253,30,3000,stall,True,331.0
sfjs04-ideal,5,ideal,p100g200s30,100,200,30,359.0,0.26,30,3000,stall,True,331.0
sfjs04-ideal,6,ideal,p100g200s30,100,200,30,359.0,0.241,30,3000,stall,True,331.0
sfjs04-ideal,7,ideal,p100g200s30,100,200,30,359.0,0.236,30,3000,stall,True,331.0
sfjs04-ideal,8,ideal,p100g200s30,100,200,30,359.0,0.236,30,3000,stall,True,331.0
sfjs04-ideal,9,ideal,p100g200s30,100,200,30,359.0,0.237,30,3000,stall,True,331.0
sfjs04-ideal,10,ideal,p100g200s30,100,200,30,359.0,0.234,30,3000,stall,True,331.0
sfjs05-ideal,1,ideal,p100g200s30,100,200,30,123.0,0.308,31,3100,stall,True,106.5
sfjs05-ideal,2,ideal,p100g200s30,100,200,30,123.0,0.34,31,3100,stall,True,106.5
sfjs05-ideal,3,ideal,p100g200s30,100,200,30,123.0,0.341,30,3000,stall,True,106.5
sfjs05-ideal,4,ideal,p100g200s30,100,200,30,123.0,0.314,31,3100,stall,True,106.5
sfjs05-ideal,5,ideal,p100g200s30,100,200,30,123.0,0.294,31,3100,stall,True,106.5
sfjs05-ideal,6,ideal,p100g200s30,100,200,30,123.0,0.291,30,3000,stall,True,106.5
