instance,seed,dist_type,dist_class,n_alive,n_T_impact,n_R1_release,n_seeds,n_closure,closure_frac,R1_empty,R2_covers_R1,R2_strictly_larger
example_3x3x2,42,corridor_block,B,18,0,0,6,16,0.8889,True,True,True
example_3x3x2,42,corridor_slowdown,B,18,0,0,6,16,0.8889,True,True,True
example_3x3x2,42,agv_breakdown,A,18,3,11,11,11,0.6111,False,True,False
example_3x3x2,42,ra_failure,A,18,8,18,18,18,1.0,False,True,False
example_3x3x2,7,corridor_block,B,19,0,0,7,19,1.0,True,True,True
example_3x3x2,7,corridor_slowdown,B,19,0,0,7,19,1.0,True,True,True
example_3x3x2,7,agv_breakdown,A,19,4,12,12,19,1.0,False,True,True
example_3x3x2,7,ra_failure,A,19,8,19,19,19,1.0,False,True,False
example_3x3x2,2024,corridor_block,B,15,0,0,5,15,1.0,True,True,True
example_3x3x2,2024,corridor_slowdown,B,15,0,0,5,15,1.0,True,True,True
example_3x3x2,2024,agv_breakdown,A,15,4,12,12,12,0.8,False,True,False
example_3x3x2,2024,ra_failure,A,15,6,12,15,15,1.0,False,True,True
example_3x3x2,99,corridor_block,B,20,0,0,6,16,0.8,True,True,True
example_3x3x2,99,corridor_slowdown,B,20,0,0,6,16,0.8,True,True,True
example_3x3x2,99,agv_breakdown,A,20,3,14,14,14,0.7,False,True,False
example_3x3x2,99,ra_failure,A,20,8,20,20,20,1.0,False,True,False
example_3x3x2,123,corridor_block,B,18,0,0,5,16,0.8889,True,True,True
example_3x3x2,123,corridor_slowdown,B,18,0,0,5,16,0.8889,True,True,True
example_3x3x2,123,agv_breakdown,A,18,3,11,11,11,0.6111,False,True,False
example_3x3x2,123,ra_failure,A,18,6,13,13,13,0.7222,False,True,False
example_3x3x2,13,corridor_block,B,19,0,0,6,16,0.8421,True,True,True
example_3x3x2,13,corridor_slowdown,B,19,0,0,6,16,0.8421,True,True,True
example_3x3x2,13,agv_breakdown,A,19,3,14,14,14,0.7368,False,True,False
example_3x3x2,13,ra_failure,A,19,8,19,19,19,1.0,False,True,False
example_3x3x2,1,corridor_block,B,21,0,0,6,18,0.8571,True,True,True
example_3x3x2,1,corridor_slowdown,B,21,0,0,6,18,0.8571,True,True,True
example_3x3x2,1,agv_breakdown,A,21,4,12,12,12,0.5714,False,True,False
example_3x3x2,1,ra_failure,A,21,4,9,14,14,0.6667,False,True,True
example_3x3x2,777,corridor_block,B,18,0,0,4,18,1.0,True,True,True
