instance,seed,phi,n_affected_ops,n_future_ops,n_closure,strc_feasible,strc_makespan,strc_wall_ms,strc_scope_rounds,r0_feasible,r0_makespan,r0_wall_ms,speedup,ref_makespan
example_3x3x2,777,0.1,1,5,15,True,51.0,0.7,0,True,34.0,2003.19,2879.8,50.0
example_3x3x2,777,0.25,2,5,15,True,54.0,0.93,0,True,35.0,2011.71,2160.6,50.0
example_3x3x2,777,0.5,3,5,18,True,56.0,1.15,0,True,38.0,2022.61,1759.7,50.0
example_3x3x2,777,0.75,4,5,18,True,57.0,1.47,0,True,40.0,2029.93,1380.9,50.0
example_3x3x2,777,1.0,5,5,18,True,57.0,1.98,0,True,34.0,2013.05,1018.3,50.0
example_3x3x2,31415,0.1,1,6,12,True,52.0,0.66,0,True,34.0,2011.23,3050.6,52.0
example_3x3x2,31415,0.25,2,6,17,True,54.0,0.78,0,True,34.0,2013.89,2596.2,52.0
example_3x3x2,31415,0.5,3,6,17,True,54.0,0.91,0,True,35.0,2014.57,2225.8,52.0
example_3x3x2,31415,0.75,5,6,17,True,56.0,1.5,0,True,40.0,2003.63,1336.0,52.0
example_3x3x2,31415,1.0,6,6,17,True,61.0,1.65,0,True,42.0,2011.1,1220.4,52.0
example_3x3x2,8,0.1,1,6,8,True,49.099999999999994,3.0,3,True,34.0,2019.43,674.1,46.0
example_3x3x2,8,0.25,2,6,18,True,49.099999999999994,0.91,0,True,34.0,2019.04,2216.3,46.0
example_3x3x2,8,0.5,3,6,18,True,54.0,1.47,0,True,34.0,2006.08,1369.0,46.0
example_3x3x2,8,0.75,5,6,18,True,57.0,1.5,0,True,34.0,2013.83,1342.2,46.0
example_3x3x2,8,1.0,6,6,18,True,57.0,1.67,0,True,34.0,2009.96,1205.6,46.0
congested_8x4x4,42,0.1,2,15,49,True,203.0,3.1,0,True,101.0,2011.07,648.7,179.0
